trac_name,start_race,race_id,participants
Santa Anita,23:30,5227090,"{'horse_name': [""Cammy's Music"", 'Not Chopped Liver', 'Magical More', 'Liberty Jack', 'Tuff T', 'Sun Kingdom', 'Sleepin N Cheatin', 'Duke Of Eddie', 'Nashoga', 'Supreme Giant', 'Runs Sweet', 'Bitte', 'Catfish Hunter', 'Shades Play'], 'horse_id': ['1', '2', '3', '4', '6', '7', '9', '10', '11', '12', '13', '14', '5', '8'], 'horse_chances': []}"
Santa Anita,23:00,5227089,"{'horse_name': ['Place Des Vosges', 'Backintheacademy', 'Crimson And Gold', ""Molly's Honour"", 'Lucy De', 'Shazara', 'Lady Pamela', 'Sweet Dragon Fly', 'Radiantly'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'horse_chances': []}"
Santa Anita,22:30,5227088,"{'horse_name': ['Curlina Curlina', 'Summertimemischief', 'Righteous Dixie', 'Agent Nine T Nine', 'Nang Noi', 'Candy Coded', 'Royal Red', 'Kadabadoo', 'Latina Mo'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'horse_chances': []}"
Santa Anita,22:00,5227087,"{'horse_name': ['Dyna Star', 'Trinitys Turn', 'Sheswildnfree', 'Lirica Heat', 'Paschalitsa', 'Autumn Twilight'], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Santa Anita,21:30,5227086,"{'horse_name': ['Scathing', 'Princess Tiznow', 'It Girl', 'Heartofthetemple', 'Albeit', 'Empress Suiko'], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Aqueduct,21:50,5227105,"{'horse_name': ['Bracken Belle', 'Jacqueline D', 'Proud Lily', 'Beyond Discreet', 'Miss Meadowbrook', ""Salori's Bank"", 'Grande Beso', 'Deed To The Bank', 'Mini Megan'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'horse_chances': []}"
Santa Anita,21:00,5227085,"{'horse_name': ['Ebadan', 'Awesome Return', 'Crown The Kitten', 'Formulate', 'Buymeabond', 'Play Hard To Get', 'Professor Berns'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Aqueduct,21:20,5227104,"{'horse_name': ['Audacious Angel', 'Spa Town Parade', ""Star's Bella Vita"", 'Riot Worthy', 'Legally Bay', 'Maddizaskar', ""She's So Fine"", 'Just Got Out', 'Natalie Victoria', 'Flick Of An Eye'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'horse_chances': []}"
Aqueduct,20:50,5227103,"{'horse_name': ['Can You Diggit', 'Tellmeafookystory', 'Ethan Hunt', 'Fleet Irish', 'Dynamax Prime', 'Hamptons Holiday', 'Bourbon Empire', ""Jaime's Angel"", ""Stretch's Stone"", 'Mr. Buff'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'horse_chances': []}"
Aqueduct,20:20,5227102,"{'horse_name': ['Yourcreditisgood', 'Vaughn', 'Justenufflaughter', 'Fly Ash', ""Dr. J's Buck"", 'Boomerang Becky', 'Chocolate Smoothie', 'Saratiago', 'If You Believe', 'Redneck Gold'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'horse_chances': []}"
Aqueduct,19:50,5227101,"{'horse_name': ['Guayana', 'Oaks', 'Shakesperian Dream', 'Abounding Spirit', 'Kate Is A Ten', 'Bi Light Of Day', 'Pari Nath', 'Can Can Babe'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8'], 'horse_chances': []}"
Aqueduct,19:20,5227100,"{'horse_name': ['He Can Dance', 'Breeze Burner', 'Ten Twenty Nine', ""Can'tmakethisup"", 'Honorable Jonas'], 'horse_id': ['1', '2', '3', '4', '5'], 'horse_chances': []}"
Aqueduct,18:50,5227099,"{'horse_name': [""John's Island"", ""Nonna's Boy"", 'Monster Mash', 'Forest Boy', 'Ima Wildcat', 'Johannesburg Smile'], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Aqueduct,18:20,5227098,"{'horse_name': ['Yummy Bear', 'Read The Dream', 'Altesino', 'Oh So Sinister', 'Final Exchange'], 'horse_id': ['1', '2', '3', '4', '5'], 'horse_chances': []}"
Tampa Bay Downs,21:25,5227113,"{'horse_name': ['Luckystrikedelcoco', 'Ballinskelligs', 'Sequiota', 'Rockin Alli', 'Believe Indeed', 'Kizuna', 'Indian Starlight', 'Tango Lima', 'Wind Cheater'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'horse_chances': []}"
Tampa Bay Downs,20:55,5227112,"{'horse_name': ['Queens Quarters', 'Temple Fairy Place', 'Girl Powder', 'Sisters Bold', 'Shack Up', 'Histrionic', 'R Way To Escape', ""Renee's Cat"", 'Southernperfection', 'Amuse The Diva'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'horse_chances': []}"
Tampa Bay Downs,19:55,5227110,"{'horse_name': ['Attack Zone', 'Fortissimo', 'Handsome Jake', 'Zortec', 'Dravite', 'Alwaysgotthehammer', 'Chico Gris', 'My Cousin Charlie', 'Ibetcha', 'Poncho Grande', 'Enroute', 'New Dude', 'Bite The Bit', 'Drexels Gold'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14'], 'horse_chances': []}"
Tampa Bay Downs,20:25,5227111,"{'horse_name': ['Saved By The Swell', 'Move', ""Mo'ne Davis"", 'Gulf View', 'Spearette', 'Bleeding Heart', 'Derval'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Tampa Bay Downs,19:25,5227109,"{'horse_name': ['Miss Adara', 'Asian Moonlady', 'Soul Strategy', 'Chambord Lace', 'Gone To Dixie', 'Vita Luna', 'Golden Fire Fly'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Tampa Bay Downs,18:55,5227108,"{'horse_name': [""Dreams D'argent"", 'Ismusbemyluckyday', 'K C Wiegmann', 'Flower Punch', 'Iphikles', 'Intelligence', 'High Side', 'Sabbatarian', 'Quinnehtukqut', 'West Of Eden', 'Step Two'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'], 'horse_chances': []}"
Tampa Bay Downs,18:25,5227107,"{'horse_name': ['Dreamup', 'Hone In', ""Shea's Cool"", 'Red River Heidi', 'High Pitch', ""Devil's Rose""], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Tampa Bay Downs,17:55,5227106,"{'horse_name': ['Saint Lipsi Chick', 'Gabriels Joy', 'Justeveryday', 'Zibby Do', 'Napa Valley Rose', 'Mystic Delight', 'Get A Room'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Gulfstream,22:32,5227149,"{'horse_name': [""Kirby's Penny"", ""Scat's Empire"", ""Harlan's Darlin"", 'Castor', ""Admiral's Win"", 'Cape Mist', ""Magician's Vanity"", 'Any Given Trace', 'Kenitra', 'Hollywood Tomcat', 'Card Spun', ""Lillie's Answer""], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Gulfstream,22:02,5227148,"{'horse_name': ['Tormenta De Oro', 'Tale For Ruby', 'Shaan', 'Lucky Switch', 'Linda Mimi', 'Hi Holiday', 'Meadow Rose', 'Top Decile'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8'], 'horse_chances': []}"
Gulfstream,21:32,5227147,"{'horse_name': ['Inside Out', 'Southern Gem', 'Alotta Skirt', 'More Than A Party', 'Moon River', 'E B Ryder', 'Peru', 'Bibby', 'Josdesanimaux', 'Mississippi Delta', 'Frosty Friday', 'Theophilia'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Gulfstream,20:32,5227145,"{'horse_name': ['Love Conquers', 'Ledbetter', 'Dawn Raider', 'Charlie The Greek', 'Vencedor', 'Our Sarge', 'Chatiment', 'Crackin Jon'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8'], 'horse_chances': []}"
